Table,State,District,Sub-,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,district,,tongue,,P,M,F,P,M,F,P,M,F
,,,code,,code,,1,2,3,4,5,6,7,8,9
C0116,02,000,00000,HIMACHAL PRADESH,006149, Churahi,75502,38176,37326,75397,38125,37272,105,51,54
C0116,02,000,00000,HIMACHAL PRADESH,006173, Dhundhari,39,21,18,1,0,1,38,21,17
C0116,02,000,00000,HIMACHAL PRADESH,006195, Garhwali,4229,2584,1645,2073,1323,750,2156,1261,895
C0116,02,000,00000,HIMACHAL PRADESH,006207, Gojri/Gujjari/Gujar,14127,7385,6742,13969,7277,6692,158,108,50
C0116,02,000,00000,HIMACHAL PRADESH,006231, Handuri,33115,17213,15902,31532,16354,15178,1583,859,724
C0116,02,000,00000,HIMACHAL PRADESH,006232, Hara/Harauti,4,2,2,4,2,2,0,0,0
C0116,02,000,00000,HIMACHAL PRADESH,006235, Haryanvi,22606,11491,11115,21128,10648,10480,1478,843,635
C0116,02,000,00000,HIMACHAL PRADESH,006240, Hindi,1076700,572380,504320,786358,414040,372318,290342,158340,132002
C0116,02,000,00000,HIMACHAL PRADESH,006265, Jaunpuri/Jaunsari,180,95,85,161,80,81,19,15,4
C0116,02,000,00000,HIMACHAL PRADESH,006291, Kangri,1115383,546598,568785,1068626,522449,546177,46757,24149,22608
C0116,02,000,00000,HIMACHAL PRADESH,006311, Khari Boli,770,507,263,205,141,64,565,366,199
C0116,02,000,00000,HIMACHAL PRADESH,006320, Khortha/Khotta,873,749,124,830,718,112,43,31,12
C0116,02,000,00000,HIMACHAL PRADESH,006336, Kulvi,196000,99299,96701,185557,94050,91507,10443,5249,5194
C0116,02,000,00000,HIMACHAL PRADESH,006340, Kumauni,1746,1248,498,570,377,193,1176,871,305
C0116,02,000,00000,HIMACHAL PRADESH,006345, Kurmali Thar,5,5,0,1,1,0,4,4,0
C0116,02,000,00000,HIMACHAL PRADESH,006353, Lamani/Lambadi,4699,2414,2285,4667,2403,2264,32,11,21
C0116,02,000,00000,HIMACHAL PRADESH,006376, Magadhi/Magahi,182,128,54,129,99,30,53,29,24
C0116,02,000,00000,HIMACHAL PRADESH,006391, Malvi,6,5,1,5,4,1,1,1,0
C0116,02,000,00000,HIMACHAL PRADESH,006394, Mandeali,621400,306644,314756,569021,279840,289181,52379,26804,25575
C0116,02,000,00000,HIMACHAL PRADESH,006400, Marwari,1334,714,620,859,455,404,475,259,216
C0116,02,000,00000,HIMACHAL PRADESH,006408, Mewari,16,10,6,16,10,6,0,0,0
C0116,02,000,00000,HIMACHAL PRADESH,006420, Nagpuria,666,425,241,579,378,201,87,47,40
C0116,02,000,00000,HIMACHAL PRADESH,006432, Nimadi,18,13,5,12,9,3,6,4,2
